post_id,scheme,category,title,answer
119,Pradhan Mantri Awas Yojana,Home loan,What is the nature of Pradhan Mantri Awas Yojana ?,"This scheme focuses on making housing for all, especially families from economically weaker sections of our population, a reality. Individuals, regardless of their economic background, looking to own a house of their own can benefit widely from this plan."
120,Pradhan Mantri Awas Yojana,Home loan,What is the purpose of Pradhan Mantri Awas Yojana ?,"This scheme focuses on making housing for all, especially families from economically weaker sections of our population, a reality. Individuals, regardless of their economic background, looking to own a house of their own can benefit widely from this plan."
121,Pradhan Mantri Awas Yojana,Home loan,What are the programs this scheme addresses ?,"This scheme strives to enable housing for all by Slum rehabilitation, joining hands with private and public sectors to bring provisions for affordable housing development.Conditions for a credit-linked subsidy, particularly for the weaker section.Enhancing and constructing beneficiary led houses."
122,Pradhan Mantri Awas Yojana,Home loan,Who is eligible for this scheme ?,"The PM Awas Yojana scheme has a few eligibility criteria that you need to fulfill. You or any family member should not own a brick and mortar house in your name as well as in the name of any family member. Any person already possessing a solid structured (?pucca?) house cannot avail this benefit. Your income needs to be up to Rs 6,00,000 per year to avail EWS or LIG. Your income needs to be from Rs 6,00,000 to Rs 12,00,000 per year to avail MIG1, Rs 12,00,000 to Rs 18,00,000 per year to avail MIG2."
123,Pradhan Mantri Awas Yojana,Home loan,What are the loans under Pradhan Mantri Awas Yojana ?,Availing the scheme?s benefits is possible for those wanting to acquire a new house from the builder or developer. Even purchasing a house from the secondary market through a repurchase is possible. Constructing a house too can be put under this scheme. Filling the Pradhan Mantri Awas Yojana Online Application is not difficult and helps make proceedings more convenient for you.
124,Pradhan Mantri Awas Yojana,Home loan,What documents are required to benefit from this scheme ?,"As per guidelines mentioned, a notarized affidavit cum undertaking is a prerequisite. In addition to this, you need to submit Aadhar Card of every home member."
125,Pradhan Mantri Awas Yojana,Home loan,"If a house owner owns a plot but does not have a house, is she or he eligible for the subsidy ?","The scheme states that the beneficiary family should not own a ?pucca? house in any part of India. This holds true for all family members in a particular household. If you meet this condition, the family can get central assistance under this mission. If a beneficiary owns a commercial establishment, shop, factory or plot but does not own a house, they can still avail the benefit of this housing scheme."
126,Pradhan Mantri Awas Yojana,Home loan,How will I receive the interest subsidy benefit under Pradhan Mantri Awas Yojana ?,"The Bank will claim subsidy benefit for eligible borrowers from National Housing Bank (NHB). The NHB will conduct a due diligence to exclude claims where customer has submitted multiple request. For all eligible borrowers, the subsidy amount would be paid to the Bank. Once the Bank receives the interest subsidy, it will be credited upfront to the loan account. The subsidy will be calculated on Net Present Value (NPV) at 9% discount rate."
127,Pradhan Mantri Awas Yojana,Home loan,Who can avail Pradhan Mantri Awas Yojana Credit Linked Subsidy Scheme ?,"The PM Awas Yojana scheme has a few eligibility criteria that you need to fulfill. You or any family member should not own a brick and mortar house in your name as well as in the name of any family member. Any person already possessing a solid structured (?pucca?) house cannot avail this benefit. Your income needs to be up to Rs 6,00,000 per year to avail EWS or LIG. Your income needs to be from Rs 6,00,000 to Rs 12,00,000 per year to avail MIG1, Rs 12,00,000 to Rs 18,00,000 per year to avail MIG2."
128,Pradhan Mantri Awas Yojana,Home loan,How will my Loan eligibility be assessed ?,"The loan eligibility of the applicant will be assessed based on internal guidelines and processes of the Bank as amended from time to time. As per the extant requirement, the borrower will be required to submit income documents like, salary slip, ITR, Bank statement, existing loan details etc for the purpose of eligibility assessment."
129,Pradhan Mantri Awas Yojana,Home loan,PMAY subsidy is applicable for what category of customer profiles ?,Pradhan Mantri Awas Yojana is available for Salaried as well as Self Employed. 
130,Pradhan Mantri Awas Yojana,Home loan,What is the maximum tenure on which the PMAY subsidy is applicable ?,The Pradhan Mantri Awas Yojana is applicable for a maximum considered tenure of 20 years.
131,Pradhan Mantri Awas Yojana,Home loan,Where can I apply for Credit Linked Subsidy Scheme (CLSS) ?,You can apply for Housing Loan under CLSS at any ICICI Bank branch.
132,Pradhan Mantri Awas Yojana,Home loan,What is Pradhan Mantri Awas Yojana (PMAY) Credit Linked Subsidy Scheme ?,"Credit Linked Subsidy, is a scheme launched by our Honourable Prime Minister Shri Narendra Modi for Economically Weaker Section (EWS), Low Income Group (LIG) and Middle Income Group (MIG ? I & MIG ?II). The beneficiary would be eligible for interest subsidy on purchase/construction of a house. The scheme is also available for enhancement of a dwelling unit."
133,Pradhan Mantri Awas Yojana,Home loan,What are the income norms for various categories ?,"The income norms for various Household categories are defined as 
EWS households/individuals with an annual income up to Rs. 3.00 lakh
LIG households/individuals with an annual income more than Rs. 3.00 lakh and up to Rs. 6.00 lakh
MIG I households/individuals with an annual income more than Rs.6.00 lakh and up to Rs.12.00 lakh
MIG II households/individuals with an annual income more than Rs12.00 lakh to INR 18.00 lakh"
134,Pradhan Mantri Awas Yojana,Home loan,When was the PMAY scheme launched by the government ?,"Pradhan Mantri Awas Yojana CLSS scheme for Middle Income Groups was launched by the Government on January 1, 2017."
135,Pradhan Mantri Awas Yojana,Home loan,Do I have to give any additional documents to avail Pradhan Mantri Awas Yojana subsidy ?,"No, there are no additional documents except a declaration of not owning a pucca house and annual household income."
136,Pradhan Mantri Awas Yojana,Home loan,What is the applicable interest subsidy and the loan amount for Pradhan Mantri Awas Yojana ?,"Beneficiaries of Economically Weaker section (EWS) and Low Income Group (LIG) seeking housing loans would be eligible for an interest subsidy at the rate of 6.5% for a tenure of 15 years or during tenure of loan whichever is lower on the initial Rs. 6 Lakh. Any additional loan/s beyond Rs. 6 Lakh, will be at nonsubsidised rate."
137,Pradhan Mantri Awas Yojana,Home loan,Is it mandatory to fetch the Aadhaar card details for all the members of the beneficiary family ?,"Yes. For processing the subsidy under PMAY CLSS for MIG I and MIG II schemes, it is mandatory to furnish the Aadhaar card details of all the family members."
138,Pradhan Mantri Awas Yojana,Home loan,What exactly is the Pradhan Mantri Awas Yojana ?,"This scheme focuses on making housing for all, especially families from economically weaker sections of our population, a reality. Individuals, regardless of their economic background, looking to own a house of their own can benefit widely from this plan."
139,Aam admi bima yojana,accident disablity death insurance,What is the purpose of the scheme,"The Aam Aadmi Bima Yojana covers natural death/accidental death, permanent total disability, and partial permanent disability. The scheme provides coverage to individuals residing in rural areas and individuals who are below the poverty line"
140,Aam admi bima yojana,accident disablity death insurance,Introduction of the scheme,"The Aam Aadmi Bima Yojana covers natural death/accidental death, permanent total disability, and partial permanent disability. The scheme provides coverage to individuals residing in rural areas and individuals who are below the poverty line"
141,Aam admi bima yojana,accident disablity death insurance,Eligibility Criteria,"A person aged between 18 to 59 years can avail this insurance facility.
Available only to the head of the family or the earning member of the family below the poverty line in the rural areas with landless households.
Documentation requirement should be fulfilled."
142,Aam admi bima yojana,accident disablity death insurance,Documentation,"Name in the Voter's List
Ration Card
Aadhaar Card (Unique Identification Card)
Extract from the school and birth certificate
Any identity card issued by the Government of India or any reputed employer"
143,Aam admi bima yojana,accident disablity death insurance,Occupations covered,"Brick Kiln Workers KarmacharisTextile Physically Handicapped
Beedi Workers Self Employed Persons
Food Stuffs like Khandsari / Sugar Construction Workers
Carpenters Safai Karamacharis
Manufacture of Wood Products Coconut Processors
Cobblers Rickshaw Pullers / Auto Drivers
Manufacture of Paper Products Sericulture
Fishermen Rural Poor
Manufacture of Leather Products Primary Milk Producers
Hamals Sheep Breeders
Printing Hilly Area Women
Handicraft Artisans Unorganized workers covered under RSBY
Rubber & Coal Products Toddy Tappers
Handloom Weavers Women Associated with Self-Help Groups
Chemical Products like candle manufacture Rural Landless Households
Handloom & Khadi Weavers Overseas Indian Workers
Mineral products like earthen toys manufacture Powerloom Workers
Lady Tailors Fire Crackers? Workers
Agriculturists Salt Growers
Leather & Tannery Workers Aanganwadi Teachers
Transport Drivers Association Tendu Leaf Collectors
Papad Workers attached to ?SEWA? Transport Scheme for the Urban Poor
Plantation Workers Forest Workers

"
144,Aam admi bima yojana,accident disablity death insurance,Claim Procedure in case of death,"The nominee needs to make an application in case of death of the insured during the policy period.
The Nodal Agency will ask the nominee for the death certificate of the insured along with the application for claim settlement.
The officer assigned by the Nodal Agency will verify the genuineness of the claim.
Document submission along with the deceased?s death certificate, a separate certificate mentioning that the head of the family/earning member belongs to below the poverty line should be submitted by the office assigned by the Nodal Agency.
Post document verification, the claim would be settled."
145,Aam admi bima yojana,accident disablity death insurance,Claim Procedure in case of Accidental death,"Along with the death certificate, the below documents also needs to be submitted in case the insured meets with an accidental death:

Policy Inquiry Report
Post Mortem Report
FIR Copy
Police Final Report"
146,Aam admi bima yojana,accident disablity death insurance,documentation,nan
147,Aam admi bima yojana,accident disablity death insurance,Age Proof,"Ration Card
Extract from Birth Register
Extract from School Certificate
Voter?s List
Identity card issued by reputed employer/Government Department.
Unique Identification Card (Aadhar Card)"
148,Aam admi bima yojana,accident disablity death insurance,Premium,"The premium to be charged initially under the scheme will be Rs.200/- per annum per member for a cover of Rs.30,000/-, out of which 50% will be subsidized from the Social Security Fund . In case of Rural Landless Household (RLH) remaining 50 % premium shall be borne by the State Government/ Union Territory and in case of other occupational group the remaining 50% premium shall be borne by the Nodal Agency and/or Member and/or State Government/ Union Territory"
149,Aam admi bima yojana,accident disablity death insurance,Nodal Agency,"Nodal Agency? shall mean the Central Ministerial Department/State Government / Union Territory of India/any other institutionalized arrangement/any registered NGO appointed to administer the Scheme as per the rules. In the case of ?Rural Landless Households?, the nodal agency will mean the State Government/Union Territory appointed to administer the Scheme."
150,Aam admi bima yojana,accident disablity death insurance,Accidental death benefit and Disability benefits,"a) On death, due to accident 75,000/-
b) Permanent Total Disability, due to accident 75,000/-
i Loss of 2 eyes or 2 limbs OR 
ii Loss of one eye & one limb, in an accident 
c) Loss of one eye or one limb, in an accident 37,500/-"
151,Aam admi bima yojana,accident disablity death insurance,Scholarship benefits,"Scholarship as a Free Add-on benefit will be provided to a maximum of two children of the beneficiary studying between 9th to 12th Standard @ Rs.100/= per month for each child payable half yearly ? on 1st July and on 1st January, each year."
152,Aam admi bima yojana,accident disablity death insurance,Claim Procedure Permanent Total Disability in accident,"The claimant has to submit documentary evidence of the accident, as also the Medical certificate from a Government Civil Surgeon or qualified Government Orthopaedician certifying permanent total/ partial disability due to accident, stating loss of limb/s of the member covered under the scheme.
Every member shall appoint a nominee to receive the claim amount after his death. Nomination form is a part of the membership application form and it should include particulars of the nominee to receive the claim amount. It should be ensured that this procedure is followed without fail so that there is no difficulty at the time of settlement of death claims. The Nomination form will be kept in the custody of the Panchayat/ Nodal Agency and shall be forwarded to LIC along with the claim papers on the death of the member."
153,Aam admi bima yojana,accident disablity death insurance,Claim Procedure for Scholarships,"The member whose child is eligible for scholarship shall fill up an application form half yearly and submit it to the Nodal Agency. The Nodal Agency will identify the students.
The Nodal Agency in turn will submit the list of beneficiary students to the concerned P&GS unit with full details such as name of the student, school?s name, class, member?s name, master policy no., membership no. and NEFT details for direct payment.
Every half year, for 1st July and 1st January, each year LIC will credit the scholarship payment to the Account of the beneficiary student, by NEFT.
Any other mode of payment of scholarships as decided by LIC/Government may be applicable in future."
154,Aam admi bima yojana,accident disablity death insurance,What is the nature of the scheme,"The Aam Aadmi Bima Yojana covers natural death/accidental death, permanent total disability, and partial permanent disability. The scheme provides coverage to individuals residing in rural areas and individuals who are below the poverty line"
155,Atal Pension Yojana,pension scheme,What is pension?,A Pension provides people with a monthly income when they are no longer earning.
156,Atal Pension Yojana,pension scheme,Need of pension,Need for Pension: ? Decreased income earning potential with age. ? The rise of nuclear family-Migration of earning members. ? Rise in cost of living. ? Increased longevity. ? Assured monthly income ensures dignified life in old age.
157,Atal Pension Yojana,pension scheme,What is Atal Pension Yojana?,"Atal Pension Yojana (APY), a pension scheme for citizens of India, is focused on the unorganised sector workers. Under the APY, guaranteed minimum pension of Rs. 1,000/- or 2,000/- or 3,000/- or 4,000 or 5,000/- per month will be given at the age of 60 years depending on the contributions by the subscribers."
158,Atal Pension Yojana,pension scheme,Nature,"Atal Pension Yojana (APY), a pension scheme for citizens of India, is focused on the unorganised sector workers. Under the APY, guaranteed minimum pension of Rs. 1,000/- or 2,000/- or 3,000/- or 4,000 or 5,000/- per month will be given at the age of 60 years depending on the contributions by the subscribers."
159,Atal Pension Yojana,pension scheme,Purpose,"Atal Pension Yojana (APY), a pension scheme for citizens of India, is focused on the unorganised sector workers. Under the APY, guaranteed minimum pension of Rs. 1,000/- or 2,000/- or 3,000/- or 4,000 or 5,000/- per month will be given at the age of 60 years depending on the contributions by the subscribers."
160,Atal Pension Yojana,pension scheme,Objective,"Atal Pension Yojana (APY), a pension scheme for citizens of India, is focused on the unorganised sector workers. Under the APY, guaranteed minimum pension of Rs. 1,000/- or 2,000/- or 3,000/- or 4,000 or 5,000/- per month will be given at the age of 60 years depending on the contributions by the subscribers."
161,Atal Pension Yojana,pension scheme,Introduction of the scheme,"Atal Pension Yojana (APY), a pension scheme for citizens of India, is focused on the unorganised sector workers. Under the APY, guaranteed minimum pension of Rs. 1,000/- or 2,000/- or 3,000/- or 4,000 or 5,000/- per month will be given at the age of 60 years depending on the contributions by the subscribers."
162,Atal Pension Yojana,pension scheme,Eligibility Criteria,"Any Citizen of India can join APY scheme. The following are the eligibility criteria:- (i) The age of the subscriber should be between 18 - 40 years. (ii) He / She should have a savings bank account/ post office savings bank account . 2 The prospective applicant may provide Aadhaar and mobile number to the bank during registration to facilitate receipt of periodic updates on APY account. However, Aadhaar is not mandatory for enrolment."
163,Atal Pension Yojana,pension scheme,How to Apply?,You will be sent a confirmation message when the application is approved.
164,Atal Pension Yojana,pension scheme,Can I apply for APY online?,"No, currently there are no provisions to apply for APY online. You need to go to your bank and fill out the forms."
165,Atal Pension Yojana,pension scheme,What are the documents required to apply for the APY Scheme?,"To apply for the APY scheme, you need to fill out the form and submit a photocopy of your Aadhar Card. No other documents are required."
166,Atal Pension Yojana,pension scheme,How will I know if the pension scheme is activated?,"You will receive an SMS alert on your registered mobile number, informing you when the pension scheme is activated."
167,Atal Pension Yojana,pension scheme,When is the last date to join the Atal Pension Yojana Scheme?,The Atal Pension Yojana Scheme does not have a last date to join. Submit your application before June 1st to join the scheme for the coming year. The scheme is renewed on June 1st every year.
168,Atal Pension Yojana,pension scheme,What are the minimum and maximum age to join this scheme?,"The minimum age is 18 years. The scheme is also open to college students. The maximum age is 40 years. This is because the minimum contribution period is 20 years. At the age of 60, you will start receiving your pension."
169,Atal Pension Yojana,pension scheme,Is my money safe? Will the scheme be changed when the government changes?,"The Atal Pension Yojana scheme is passed by the Parliament of India in the budget session. The scheme will not be discontinued if there is a change in the Government, and your contribution is safe. Any succeeding Governments has the right to only change the name of the pension scheme."
170,Atal Pension Yojana,pension scheme,Jurisdiction,Central
171,Atal Pension Yojana,pension scheme,Mode of payment,The contributions can be made at monthly / quarterly / half yearly intervals through autodebit facility from savings bank account/ post office savings bank account of the subscriber.
172,Atal Pension Yojana,pension scheme,How will I know the status of my contribution?,"The periodical information to the subscribers regarding activation of PRAN, balance in the account, contribution credits etc. will be intimated to APY subscribers by way of SMS alerts. The subscriber will also be receiving physical Statement of Account once a year."
173,Atal Pension Yojana,pension scheme,What would be the benefits,Pension amount vs Corpus amount 1000|174000 2000|340000 3000|510000 4000|680000 5000|850000
174,Employment State Insurance Scheme,health insurance,Objective,"It is a comprehensive Social Security Scheme designed to accomplish the task of socially protecting the 'employees' in the organized sector against the events of sickness, maternity, disablement and death due to employment injury and to provide medical care to the insured employees and their families."
175,Employment State Insurance Scheme,health insurance,Introduction of the scheme,"It is a comprehensive Social Security Scheme designed to accomplish the task of socially protecting the 'employees' in the organized sector against the events of sickness, maternity, disablement and death due to employment injury and to provide medical care to the insured employees and their families."
176,Employment State Insurance Scheme,health insurance,Nature,"It is a comprehensive Social Security Scheme designed to accomplish the task of socially protecting the 'employees' in the organized sector against the events of sickness, maternity, disablement and death due to employment injury and to provide medical care to the insured employees and their families."
177,Employment State Insurance Scheme,health insurance,Purpose,"It is a comprehensive Social Security Scheme designed to accomplish the task of socially protecting the 'employees' in the organized sector against the events of sickness, maternity, disablement and death due to employment injury and to provide medical care to the insured employees and their families."
178,Employment State Insurance Scheme,health insurance,What are the benefits,"The scheme provides full medical care to the employee registered under the scheme during the period of his incapacity for restoration of his health and working capacity. It provides financial assistance to compensate the loss of his/ her wages during the period of his abstention from work due to sickness, maternity and employment injury. The scheme provides medical care to his/her family members also."
179,Employment State Insurance Scheme,health insurance,Who administers the ESI Scheme?,"The ESI Scheme is administered by a corporate body called the 'Employees' State Insurance Corporation' (ESIC), which has members representing Employers, Employees, the Central Government, State Government, Medical Profession and the Parliament. The Director General is the Chief Executive Officer of the Corporation and is also an ex-officio member of the Corporation."
180,Employment State Insurance Scheme,health insurance,Funding,The ESI scheme is a self-financing scheme. The ESI funds are primarily built out of contribution from employers and employees payable monthly at a fixed percentage of wages paid. The State Governments also contribute1/8th share of the cost of Medical Benefit.
181,Employment State Insurance Scheme,health insurance,Registration,"At the time of joining the insurable employment, an employee is required to provide his and his family details to the employer along with a family photo so that the employer can register the employee online. This exercise of registering an employee has to be a onetime exercise in life time of an employee. The insurance number generated on the first occasion of registration is to be used throughout his life time irrespective of change of employment including change of place."
182,Employment State Insurance Scheme,health insurance,How to Apply?,"At the time of joining the insurable employment, an employee is required to provide his and his family details to the employer along with a family photo so that the employer can register the employee online. This exercise of registering an employee has to be a onetime exercise in life time of an employee. The insurance number generated on the first occasion of registration is to be used throughout his life time irrespective of change of employment including change of place."
183,Employment State Insurance Scheme,health insurance,Validity,"The insured person and his family are entitled to the Medical Benefit from the very first day of his/her joining the insurable employment. A person who is covered under the scheme for the first time is eligible for medical care for self and family for three months. If he/she continues in insurable employment for three months or more, the benefit is admissible till the beginning of the corresponding benefit period. If contributions were paid/ payable for not less than 78 days in the said contribution period, medical benefit is admissible till the end of the corresponding benefit period. If the insured person is in ESI coverage for at least 2 years, and contributed for not less than 156 days, and is suffering from any of the 34 specified long term diseases, the medical benefit is admissible till the incapacity lasts or for a period of 3 years for self and family."
184,Employment State Insurance Scheme,health insurance,What are sickness benefits?,"If an insured person requires medical treatment and attendance and needs abstention from work on
medical grounds, Sickness benefit is paid for the period of abstention duly certified by the
Authorized Medical Officer, for a period not exceeding 91 days in two consecutive benefit periods
(say one year) @ 70% of standard benefit rate, subject to payment of contribution for not less than
78 days in the corresponding contribution periods. 
"
185,Employment State Insurance Scheme,health insurance,What is maternity benefit?,"Maternity benefit is periodical payments to an insured woman for specified period of abstention from work, due to confinement, miscarriage or sickness out of pregnancy, pre-mature birth of child or miscarriage or confinement. The rate of maternity benefit shall be equal to the standard benefit rate."
186,Employment State Insurance Scheme,health insurance,Funeral Expenses,"A lump sum payment not exceeding Rs.10,000/- towards expenditure on the funeral of a deceased insured person, is paid either to the eldest surviving member of the family or if he has no family or not residing with his family at the time of death, to the person who actually performs the funeral of the deceased insured person."
187,genaral home loan,genaral home loan faq,What is Home Loan,"Home loan?is a loan disbursed by a bank or financial institution (lender) to an individual specifically for buying a residential property. Here, the lender holds the title of property until the loan is paid back in full along with interest"
188,genaral home loan,genaral home loan faq,Introduction,"Home loan?is a loan disbursed by a bank or financial institution (lender) to an individual specifically for buying a residential property. Here, the lender holds the title of property until the loan is paid back in full along with interest"
189,genaral home loan,genaral home loan faq,Tenure of Home Loan,Home loans are long term borrowing instruments with a minimum tenure of 5 years and a maximum tenure of 30 years. The tenure offered to you for your personal loan depends on the loan amount that is sanctioned to you by the lender along with other factors.
190,genaral home loan,genaral home loan faq,Eligibility Criteria,"Anyone ? whether self employed or salaried individuals/professionals ? with a regular source of income can apply for home loans. One must be at least 21 years old when the loan period begins and should not exceed an age of 65 years when the loan ends or at the time of superannuation. This is the generic?home loan eligibility criteria?and specifics such as the minimum and maximum age limits, minimum income level, etc. may differ from one lender to another."
191,genaral home loan,genaral home loan faq,Floating Rate,"If the interest rate on the loan varies periodically over the loan tenure, then it is called a floating rate home loan. Lenders have their own base rate which determines the rate of interest charged on a home loan. The base rates of banks are revised from time to time based on RBI directives as well as other factors, which leads to an increase or decrease in the EMI amount payable."
192,genaral home loan,genaral home loan faq,Fixed Rate,"Fixed rate home loans are offered at a predetermined interest rate during the loan period and these remain unchanged during the loan period irrespective of market conditions. This can be a huge benefit when market volatility starts affecting interest rates. For instance, if the RBI increases interest rates on loans, then people with fixed rate home loan will not be affected by any increase or decrease in the market interest rates and the EMI amount will remain unchanged. This type of home loan is less popular these days."
193,genaral home loan,genaral home loan faq,Documents Required,The documents that need to be submitted may vary from one lender to the other. Some of the necessary documents to be submitted include the following- Completed loan application form Passport size photographs Identity proof ? PAN card/Passport/ DL/ Voters ID Residence proof- telephone or electricity bill/ passport/ voter ID / property tax receipt Bank statement for at least past 6 months and salary certificates/ latest acknowledged ITR Copy of plan approved for the proposed construction/extension Cost estimation/ valuation report from Bank?s (or finance company)  authorised surveyor/evaluator Allotment letter of housing board/ NOC of the society/Builder etc. as well as any other land use certificate/other
194,genaral home loan,genaral home loan faq,Tax benefits,"The tax benefit on home loan is divided into two sections- Tax exemption on repayment of the home loan principal: This is the deduction allowed under Tax Section 80C with a maximum annual tax deduction of Rs, 150,000 under the section. Tax benefit on the interest rate for home loan- Under Section 24 of the Income Tax Act, you can avail the tax benefit on the amount of interest paid on a home loan to the maximum limit of Rs. 2 lakhs for a self occupied property. Tax benefit for Joint Borrowers: In case of joint home loans, each of the co-borrowers is eligible to receive a total of Rs. 3.5 lakhs (1.5 lakhs under section 80C + 2 lakhs under section 24) as tax exemption. Hence, if a married couple co-signs for a home loan, they can claim a total tax exemption of Rs. 7 lakhs on their home loan."
195,genaral home loan,genaral home loan faq,Margin,"The margin on a home loan refers to the percentage of the cost of the home that is not covered by the lender providing you with the home loan. On an average, lenders implement a 20% margin on home loans i.e. the home loan amount sanctioned to you will be 80% of the actual cost of the property. The remaining 20% of the home loan cost will have to be borne by you. Though the 20% margin is the industry average, lenders may increase or decrease their home loan margins on a case by case basis."
196,genaral home loan,genaral home loan faq,Types of Home Loan,"There are various types of home loans depending upon your specific requirement. Some of the key ones are as follows: Land purchase loans: These loans are granted to individuals for the purchase of land on which they intend to build a house. Home purchase loans: These are the most common type of home loans that is granted to individuals and they are granted for the purchase of an apartment. Home construction loan: This type of loan is granted to individuals for the construction of a house on a plot of land that is already owned by the applicant. Home Expansion/Extension Loan: This loan is specifically granted to individuals who want to expand their current home to include a new construction such as an additional floor, room, bathroom, etc. Home Improvement Loan: Existing home owners who lack sufficient funds to renovate their existing home can apply for this loan to upgrade their home with a new paint job, electrical wiring, water proofing, etc. Home conversion loans: Using this type of home loan, an existing home owner can add to their existing loan so that they can purchase a new house. This type of loan is only applicable to existing home owners. NRI Home Loans: These home loans are specifically designed to provide non-resident Indians with financing so that they can purchase a home in India."
197,general Insurance,general insurance faq,What is insurance?,"ife Insurance is a contract between the insurance company (insurer) and the policyholder (insured). In return for a consideration (the premium), the insurance company promises to pay a specified amount to the insured on the happening of a specific event such as death, disability, critical illness."
198,general Insurance,general insurance faq,Why is insurance important?,Insurance is a risk mitigation technique where policy owner can ensure that his/her untimely demise will not result in financial hardship for loved ones and lenders.
199,general Insurance,general insurance faq,What is life insurance?,"Life insurance ensures financial protection on accident or death. It enables maintenance of the same lifestyle even after the unfortunate demise of a loved one. The beneficiaries can utilize the monetary benefits to replace the income one would have earned or help pay off debts or other expenses. Life insurance boosts the confidence of the insured, and offers satisfaction of being covered for illness, life or financial loss."
200,general Insurance,general insurance faq,What is term insurance?,"Term insurance is a life insurance which provides coverage for the policy term decided between the policy holder and insurer at the onset of the policy. After this policy term expires coverage is no longer valid. If the insured dies during this term, the death benefit is paid to the nominee."
201,general Insurance,general insurance faq,What is premium paying term?,Premium paying term (PPT) is period during which the policyholder pays the premium. It can be equal to or less than the total policy term. Please refer to the product circular to know about a particular product's PPT.
202,general Insurance,general insurance faq,What is death benefit?,nan
203,general Insurance,general insurance faq,How do I pay my premiums?,"Depending on the product your premium could be a one time ""single premium"" plan or a ""regular premium"" plan. In case of a regular premium plan, you will have the option to pay premiums either annually, half yearly, quarterly or monthly, depending on the product you take."
204,general Insurance,general insurance faq,What is freelook period?,"While forwarding the policy to the insured, the insurer will inform the policyholder by letter that they have a period of 15 days from the date of receipt of the policy document to review the terms and conditions of the policy."
205,general Insurance,general insurance faq,How much insurance can be provided to non-working woman?,"Married: 50 % of husband's cover OR 25 L whichever minimum
Unmarried / Divorcee: No cover
Widow: No cover"
206,general Insurance,general insurance faq,What is Grace period?,"Grace Period is the time provided to the customer over and above the exact due date to make the payment for the renewal premium without lapsing the insurance policy or reducing any of the policy benefits. So it is an extra time window given to the customer to make the premium payment just in case he forgets to make the payment in time or needs some more time to arrange for the funds. The grace period for annual, half yearly and quarterly mode is 30 days, and 15 days for monthly mode."
207,general Insurance,general insurance faq,What can be the reason for rejection of claims?,"Lapsation status of policy on the date of incidence of claim, non-coverage of a particular event/loss as per policy conditions, loss not qualifying under the definition of loss either marginally or totally as per coverage definition, losses falling under exclusions."
208,general Insurance,general insurance faq,What is ULIP funds?,"A ULIP fund is a fund that brings people with a common objective together. Money collected from these people is invested on their behalf and the returns are shared back amongst them. ULIP funds are managed by a fund manager. The fund manager invests the money according to the objective of the scheme in equities, debt instruments, money markets, etc. The experienced fund managers (also referred to as portfolio managers) are responsible for investing the funds based on the type of fund that is chosen by the investor."
209,general Insurance,general insurance faq,What do you mean by fund value?,"Fund value is the value of investment made by the policy holder in a ULIP policy. It is calculated as:



Fund Value = Number of Units X Unit Price



Therefore, fund value is equal to the number of units under the policy multiplied by the respective unit price on the relevant valuation date."
210,general Insurance,general insurance faq,What are infrastructure bonds?,"Infrastructure bonds are those bonds the proceeds of which are invested by the company in the infrastructure facilities of the country. Such bonds carry a fixed rate of interest, to be paid at the time of maturity.

Under Section 80CCF of the Income Tax Act, notified infrastructure bonds are exempt from tax, up to maximum of Rs.20000/- per year."
211,general Insurance,general insurance faq,What is bond Fund?,"Bond funds are debt funds. The objective of the fund is to provide accumulation of income through investment in high quality fixed income securities. This fund will have an exposure of maximum 20% in money market instruments and minimum 80% in G-Secs, bonds and fixed deposits.



These funds are meant especially for investors with a relatively less appetite for risk and having an intention to earn returns higher than what are possible to earn from other safe avenues like Fixed Deposits. So, safety and returns, both are of equal concern for those investing in bond funds. Most bond funds pay income regularly and their NAVs tend to fluctuate less than those of an equity fund."
212,general Insurance,general insurance faq,What is Net Asset Value?,Net Asset Value is the market value of the fund less the liabilities divided by total number of units. NAV on any current day is equivalent to assets minus liabilities divided by total outstanding units.
213,general Insurance,general insurance faq,What is allocation?,Under unit-linked policies the investment of the premium in the particular funds after deduction of allocation charge is called allocation. It differs with every policy and year
214,general Insurance,general insurance faq,What is partial withdraw?,"Partial withdrawal of a policy implies withdrawal of only a part of the funds of your policy. The applicable norms for partial withdrawal may differ for every product. For product-specific details on the same, please refer to the respective product circulars."
215,National Pension System,senior citizen insurance,Objective,New Pension System is a voluntary contribution of funds for a sustained period of time (till the age of 60years) to enable him to draw pension after he attains 60 years of age. The Scheme has been introduced by the Government of India and monitored by the Pension Fund Regulatory and Development Authority.
216,National Pension System,senior citizen insurance,Introduction of the scheme,New Pension System is a voluntary contribution of funds for a sustained period of time (till the age of 60years) to enable him to draw pension after he attains 60 years of age. The Scheme has been introduced by the Government of India and monitored by the Pension Fund Regulatory and Development Authority.
217,National Pension System,senior citizen insurance,Nature,New Pension System is a voluntary contribution of funds for a sustained period of time (till the age of 60years) to enable him to draw pension after he attains 60 years of age. The Scheme has been introduced by the Government of India and monitored by the Pension Fund Regulatory and Development Authority.
218,National Pension System,senior citizen insurance,Purpose,New Pension System is a voluntary contribution of funds for a sustained period of time (till the age of 60years) to enable him to draw pension after he attains 60 years of age. The Scheme has been introduced by the Government of India and monitored by the Pension Fund Regulatory and Development Authority.
